"","Source","Title","Narrative","Date"
"128","NPR","With Power Out And Phones Down, A Struggle To Reach Loved ...","CompoundingÿPuerto Rico'sÿdevastation in the wake of Hurricane Maria is the fact that so much is still unknown. Because most of the island's cellphone sites areÿ...",2017-09-22
"129","NPR","Local Connecticut Political Leaders Focus OnÿPuerto RicoÿAfter ...","Story image for puerto rico from RollingStone.com",2017-09-22
"130","CNN","Monica Puig: 'Tennis is so small and life is so precious'","""Puerto Ricoÿis my home and to see what's going on there truly breaks my heart,"" a tearful Puig told CNN Sport, speaking from a WTA Tour event in Wuhan,ÿ...",2017-09-22
"131","NPR","The Scene InÿPuerto Rico","David Greene talks with Samantha Schmidt of The Washington Post, who discusses the situation on the ground inÿPuerto Ricoÿafter Hurricane Maria devastatedÿ...",2017-09-22
"132","NY1","Organization helps Americans reconnect with loved ones inÿPuertoÿ...","""We're collecting information, giving a little hope, and you know, just saying, 'Keep the hope, keep the faith,'"" said Rosa Guiterrez, CEO of theÿPuerto Ricanÿ...",2017-09-22
"133","Salon","Majority of Americans don't realizeÿPuerto Ricoÿis part of America","If a poll from early 2017 is to be believed, there are millions of Americans who don't realize that when Hurricane Maria hitÿPuerto Rico, it directly impactedÿ...",2017-09-22
"134","History","Puerto Rico'sÿComplicated History with the United States","An American flag andÿPuerto Ricanÿflag fly next to each other in Old San Juan a day after theÿPuerto RicanÿGovernor Alejandro Garcia Padilla gave a televisedÿ...",2017-09-22
"135","Reuters","Buckeye Partners'ÿPuerto Ricoÿoil terminal still closed after Maria","HOUSTON (Reuters) - Buckeye Partners LP's Yabucoa oil terminal inÿPuertoÿRicoremained closed on Friday, the company said, days after Hurricane Maria leftÿ...",2017-09-22
"136","Current","Back-to-back hurricanes sidelineÿPuerto Ricoÿpubcasters","Public broadcasters inÿPuerto Ricoÿare off the air after being battered by back-to-back hurricanes. Some stations never got back on the air after the devastation ofÿ...",2017-09-22
"137","ABC News","Worried daughter locates father inÿPuerto Ricoÿwith some help","ABC News reporters helped assure a worried daughter that her family inÿPuertoÿRicois safe after she could not reach them in the aftermath of Hurricane Maria.",2017-09-22
"138","DieHards","Hurricane may affect Iowa State'sÿPuerto RicoÿTip-Off games","Story image for puerto rico from Fox News",2017-09-22
"139","Space.com","Hurricane Maria Damages Parts ofÿPuerto Rico'sÿArecibo Observatory","Story image for puerto rico from Space.com",2017-09-22
"140","USA TODAY","After Hurricane Maria,ÿPuerto Rico'sÿrare bioluminescent bays may ...","Mystical glow-in-the-dark water that dotsÿPuerto Rico'sÿcoast is at risk of blacking out after Hurricane Maria.ÿPuerto Ricoÿis home to three bioluminescent bays,ÿ...",2017-09-22
"141","snopes.com","How To Seek Information on Loved Ones inÿPuerto Rico","On 20 September 2017 the Category 4 Hurricane Maria made landfall inÿPuertoÿRico, killing six people and knocking out power to the entire island. In responseÿ...",2017-09-22
"142","NBCNews.com","Puerto RicansÿVenture Out to Face Hurricane Maria's Devastation","Trees downed by Hurricane Maria are seen in Guaynabo,ÿPuerto Rico, ... real shock came after opening his front door in flood-ravaged San Juan,ÿPuerto Rico.",2017-09-22
"143","Radio World","Radio Stations inÿPuerto RicoÿStruggling","It's hard to determine exactly how many radio broadcast signals still exist onÿPuerto Ricoÿfollowing Hurricane Maria. We do knowÿPuerto Rico'sÿelectrical grid isÿ...",2017-09-22
"144","STLtoday.com","Molina organizes relief effort for devastatedÿPuerto Rico","Molina and his wife, Wanda, started a GoFundMe account Thursday morning with the intent to raise $1 million to aid in the recovery ofÿPuerto Rico. By the timeÿ...",2017-09-22
"145","Deseret News","Mormon missionaries evacuateÿPuerto Rico; LDS Church supplies ...","FILE - The heavy rains and wind of hurricane Irma cross through the northeastern part of the island in Fajardo,ÿPuerto Rico, Wednesday, Sept. 6, 2017. Mormonÿ...",2017-09-22
"146","NBC New York","'Helpless, Worried and Sick':ÿPuerto Rico'sÿVast Outages Leave ...","Hurricane Maria caused widespread flooding and damage after poundingÿPuertoRicoÿas a Category 4 storm. Rescue crews have fanned out across the U.S.ÿ...",2017-09-22
"147","New York Times","Hurricane Maria Updates: InÿPuerto Rico, the Storm 'Destroyed Us'","Puerto Ricoÿimposes rationing as Hurricane Maria approaches",2017-09-22
"148","New York Times","In aÿPuerto RicanÿTown, 'Water Came Out of Nowhere'","Puerto Ricanÿgovernment officials certified two deaths in the town. But, Bernardo M rquez, the mayor, said eight people drowned due to the flooding, accordingÿ...",2017-09-22
"149","New York Times","North Korea,ÿPuerto Rico, Aaron Hernandez: Your Friday Briefing","A highway divider inÿPuerto Rico. The ferocious winds of Hurricane Maria smashed houses, hotels, cellphone towers and the island's entire electrical grid.",2017-09-22
"150","Chicago Tribune","Elgin'sÿPuerto Rican, Mexican communities worry about families ...","Hurricane Maria is churning through the Caribbean, delivering new devastation to islands previously hit by Hurricane Irma. (Sept. 22, 2017).",2017-09-22
"151","Chicago Tribune","Hurricane damage in his nativeÿPuerto Ricoÿa concern for Javier Baez","Cubs infielder Javier Baez discusses hurricane damage in his nativeÿPuerto Ricoÿon Friday, Sept. 22, 2017. (Mark Gonzales/Chicago Tribune).",2017-09-22
"152","Washington Post","Hurricanes may compel even moreÿPuerto Ricoÿresidents to flee to ...","In the coming days,ÿPuerto Ricoÿis set to ask for several billion dollars in federal relief after two major hurricanes, as officials acknowledge that the months-longÿ...",2017-09-22
"153","Miami New Times","Pubbelly Boys Partner With United Way to HelpÿPuerto RicoÿAfter ...","Hurricane Maria poundedÿPuerto Rico, leaving the island's infrastructure severely damaged and virtually everyone without power, phone service, and cleanÿ...",2017-09-22
"154","Hartford Courant","Connecticut Coordinates Effort To Support Relief ForÿPuerto Rico","Local leaders are urging residents not to supportÿPuerto Ricoÿwith supplies or visits, but rather to focus on raising money for national and local reliefÿ...",2017-09-22
"155","Popular Mechanics","Puerto RicanÿAstronaut Slammed By Two Hurricanes While in Orbit","""My parents were born there, so a lot of relatives, cousins, godparents"" are still inÿPuerto Rico, Acaba said. ""I hope everyone's doing well and that you take careÿ...",2017-09-22
"156","Dallas News (blog)","JC Penney is hiring for the holidays;ÿPuerto Ricoÿstores closed ...","Seven Penney stores inÿPuerto Ricoÿclosed on Sept. 18 so employees could prepare for Hurricane Maria. Those stores are still closed after severe damage leftÿ...",2017-09-22
"157","National Geographic","Hurricane Damages Giant Radio Telescope?Why It Matters","Staff at the Arecibo Observatory inÿPuerto Ricoÿare safe, but the storm destroyed a key instrument, and conditions in surrounding towns are still unknown.",2017-09-22
"158","The Players' Tribune","Puerto RicoÿNeeds Our Help","I'm halfÿPuerto Rican, and I'm proud of it.ÿPuerto Ricansÿare my people. But this is about more than that.ÿPuerto Ricansÿare our fellow Americans.ÿPuerto Ricansÿ...",2017-09-22
"159","Chicago Daily Herald","Soto says family inÿPuerto RicoÿOK after Hurricane Maria","Soto is also dealing with this aftermath of Hurricane Maria, which has caused massive damage in his nativeÿPuerto Rico. With his mother, father, in-laws, cousinsÿ...",2017-09-22
"160","Allentown Morning Call","Will hurricanes compel moreÿPuerto Ricoÿresidents to move to US ...","Story image for puerto rico from NOLA.com",2017-09-22
"161","Allentown Morning Call","Radio station to host fundraiser forÿPuerto Rico","La Mega radio station will host a fundraiser for victims of Hurricane Maria inÿPuerto Rico. The station will launch a day-long radio fundraising campaign startingÿ...",2017-09-22
"162","Minnesota Public Radio News","'We cannot communicate with our families':ÿPuerto Ricansÿin ...","WithÿPuerto Ricoÿdevastated by Hurricane Maria shutting down all power and most communication, manyÿPuerto Ricansÿin Minnesota are still awaiting wordÿ...",2017-09-22
"163","Depth-USA TODAY","Hurricane Maria halts crucial drug manufacturing in˜Puerto Rico˜...","Story image for puerto rico from TIME",2017-09-22
"164","CNN","Hurricane Maria:˜Puerto Rico˜reels, Turks and Caicos hit","San Juan,˜Puerto Rico˜(CNN)˜Puerto Rico˜grappled with damages and deaths caused by Hurricane Maria on Friday as the storm hurtled across the Caribbean˜...",2017-09-22
"165","NPR","With Power Out And Phones Down, A Struggle To Reach Loved ...","Compounding˜Puerto Rico's˜devastation in the wake of Hurricane Maria is the fact that so much is still unknown. Because most of the island's cellphone sites are˜...",2017-09-22
"166","NPR","Local Connecticut Political Leaders Focus On˜Puerto Rico˜After ...","Story image for puerto rico from RollingStone.com",2017-09-22
"167","CNN","Monica Puig: 'Tennis is so small and life is so precious'","""Puerto Rico˜is my home and to see what's going on there truly breaks my heart,"" a tearful Puig told CNN Sport, speaking from a WTA Tour event in Wuhan,˜...",2017-09-22
"168","NPR","The Scene In˜Puerto Rico","David Greene talks with Samantha Schmidt of The Washington Post, who discusses the situation on the ground in˜Puerto Rico˜after Hurricane Maria devastated˜...",2017-09-22
"169","NY1","Organization helps Americans reconnect with loved ones in˜Puerto˜...","""We're collecting information, giving a little hope, and you know, just saying, 'Keep the hope, keep the faith,'"" said Rosa Guiterrez, CEO of the˜Puerto Rican˜...",2017-09-22
"170","Salon","Majority of Americans don't realize˜Puerto Rico˜is part of America","If a poll from early 2017 is to be believed, there are millions of Americans who don't realize that when Hurricane Maria hit˜Puerto Rico, it directly impacted˜...",2017-09-22
"171","History","Puerto Rico's˜Complicated History with the United States","An American flag and˜Puerto Rican˜flag fly next to each other in Old San Juan a day after the˜Puerto Rican˜Governor Alejandro Garcia Padilla gave a televised˜...",2017-09-22
"172","Reuters","Buckeye Partners'˜Puerto Rico˜oil terminal still closed after Maria","HOUSTON (Reuters) - Buckeye Partners LP's Yabucoa oil terminal in˜Puerto˜Ricoremained closed on Friday, the company said, days after Hurricane Maria left˜...",2017-09-22
"173","Current","Back-to-back hurricanes sideline˜Puerto Rico˜pubcasters","Public broadcasters in˜Puerto Rico˜are off the air after being battered by back-to-back hurricanes. Some stations never got back on the air after the devastation of˜...",2017-09-22
"174","ABC News","Worried daughter locates father in˜Puerto Rico˜with some help","ABC News reporters helped assure a worried daughter that her family in˜Puerto˜Ricois safe after she could not reach them in the aftermath of Hurricane Maria.",2017-09-22
"175","DieHards","Hurricane may affect Iowa State's˜Puerto Rico˜Tip-Off games","Story image for puerto rico from Fox News",2017-09-22
"176","Space.com","Hurricane Maria Damages Parts of˜Puerto Rico's˜Arecibo Observatory","Story image for puerto rico from Space.com",2017-09-22
"177","USA TODAY","After Hurricane Maria,˜Puerto Rico's˜rare bioluminescent bays may ...","Mystical glow-in-the-dark water that dots˜Puerto Rico's˜coast is at risk of blacking out after Hurricane Maria.˜Puerto Rico˜is home to three bioluminescent bays,˜...",2017-09-22
"178","snopes.com","How To Seek Information on Loved Ones in˜Puerto Rico","On 20 September 2017 the Category 4 Hurricane Maria made landfall in˜Puerto˜Rico, killing six people and knocking out power to the entire island. In response˜...",2017-09-22
"179","NBCNews.com","Puerto Ricans˜Venture Out to Face Hurricane Maria's Devastation","Trees downed by Hurricane Maria are seen in Guaynabo,˜Puerto Rico, ... real shock came after opening his front door in flood-ravaged San Juan,˜Puerto Rico.",2017-09-22
"180","Radio World","Radio Stations in˜Puerto Rico˜Struggling","It's hard to determine exactly how many radio broadcast signals still exist on˜Puerto Rico˜following Hurricane Maria. We do know˜Puerto Rico's˜electrical grid is˜...",2017-09-22
"181","STLtoday.com","Molina organizes relief effort for devastated˜Puerto Rico","Molina and his wife, Wanda, started a GoFundMe account Thursday morning with the intent to raise $1 million to aid in the recovery of˜Puerto Rico. By the time˜...",2017-09-22
"182","Deseret News","Mormon missionaries evacuate˜Puerto Rico; LDS Church supplies ...","FILE - The heavy rains and wind of hurricane Irma cross through the northeastern part of the island in Fajardo,˜Puerto Rico, Wednesday, Sept. 6, 2017. Mormon˜...",2017-09-22
"183","NBC New York","'Helpless, Worried and Sick':˜Puerto Rico's˜Vast Outages Leave ...","Hurricane Maria caused widespread flooding and damage after pounding˜PuertoRico˜as a Category 4 storm. Rescue crews have fanned out across the U.S.˜...",2017-09-22
"184","New York Times","Hurricane Maria Updates: In˜Puerto Rico, the Storm 'Destroyed Us'","Puerto Rico˜imposes rationing as Hurricane Maria approaches",2017-09-22
